"cancer","category","rf","cor","pvalue","p.adj","sign","group","group2"
"Bladder","Education","level 9",0.28179324346987,0.0781373484501817,0.117206022675273,"pos","Social","Education"
"Bladder","Education","≥ level 1",0.317119083036979,0.0461703353513099,0.103943995390168,"pos","Social","Education"
"Bladder","Education","≥ level 10",0.233251270753974,0.147477766907149,0.178061143594459,"pos","Social","Education"
"Bladder","Education","≥ level 2",0.319681128322204,0.0443424175226664,0.103943995390168,"pos","Social","Education"
"Bladder","Education","≥ level 3",0.323099064769469,0.0419955635958302,0.103943995390168,"pos","Social","Education"
"Bladder","Education","≥ level 4",0.302934858937232,0.0574210962648803,0.103943995390168,"pos","Social","Education"
"Bladder","Education","≥ level 5",0.295602509300159,0.0640404759339181,0.103943995390168,"pos","Social","Education"
"Bladder","Education","≥ level 6",0.295379732912489,0.0642506700895516,0.103943995390168,"pos","Social","Education"
"Bladder","Education","≥ level 7",0.300732762657306,0.0593489679967938,0.103943995390168,"pos","Social","Education"
"Bladder","Education","≥ level 8",0.295278587792472,0.0643462828605802,0.103943995390168,"pos","Social","Education"
"Bladder","Education","≥ level 9",0.274297450146842,0.0867448521563048,0.121442793018827,"pos","Social","Education"
"Breast","Education","No qualification",-0.313271691617966,0.0490292156993393,0.220366404462755,"neg","Social","Education"
"Breast","Education","level 1",-0.271153598420825,0.0905664491710151,0.238180162931894,"neg","Social","Education"
"Breast","Education","level 10",0.142686632801379,0.37977020419159,0.443065238223522,"pos","Social","Education"
"Breast","Education","level 2",-0.23156826949664,0.150504565621599,0.263730467315244,"neg","Social","Education"
"Breast","Education","level 3",0.345263332339268,0.0291106485980508,0.220366404462755,"pos","Social","Education"
"Breast","Education","level 4",-0.106848019298524,0.511682409810571,0.537266530301099,"neg","Social","Education"
"Breast","Education","level 5",0.297444883844399,0.062322974121541,0.220366404462755,"pos","Social","Education"
"Breast","Education","level 6",0.0814860735477971,0.617178141205232,0.617178141205232,"pos","Social","Education"
"Breast","Education","level 7",0.214580662936255,0.18363619222658,0.263730467315244,"pos","Social","Education"
"Breast","Education","level 8",0.264892362410271,0.0985633594756214,0.238180162931894,"pos","Social","Education"
"Breast","Education","level 9",0.189067831045519,0.242634585135797,0.318457892990733,"pos","Social","Education"
"Breast","Education","≥ level 1",0.313271691617966,0.0490292156993392,0.220366404462755,"pos","Social","Education"
"Breast","Education","≥ level 10",0.115486944309937,0.477938402228713,0.528247707726473,"pos","Social","Education"
"Breast","Education","≥ level 2",0.301984981290625,0.0582464646837114,0.220366404462755,"pos","Social","Education"
"Breast","Education","≥ level 3",0.296754929269024,0.0629618298465013,0.220366404462755,"pos","Social","Education"
"Breast","Education","≥ level 4",0.262264010989897,0.102077212685097,0.238180162931894,"pos","Social","Education"
"Breast","Education","≥ level 5",0.238250595907133,0.138750280496679,0.263730467315244,"pos","Social","Education"
"Breast","Education","≥ level 6",0.220944565544929,0.170666209727255,0.263730467315244,"pos","Social","Education"
"Breast","Education","≥ level 7",0.215977637006179,0.180730788401277,0.263730467315244,"pos","Social","Education"
"Breast","Education","≥ level 8",0.212333643982726,0.188378905225174,0.263730467315244,"pos","Social","Education"
"Breast","Education","≥ level 9",0.156867924506736,0.333713056776857,0.412233776018471,"pos","Social","Education"
"Colorectal","Education","No qualification",0.254237408035858,0.113401447577649,0.195144147083215,"pos","Social","Education"
"Colorectal","Education","level 1",0.283533335053678,0.0762380453394973,0.195144147083215,"pos","Social","Education"
"Colorectal","Education","level 10",-0.00249712135792672,0.987798916772075,0.987798916772075,"neg","Social","Education"
"Colorectal","Education","level 2",0.231294624683658,0.151000967674874,0.211401354744824,"pos","Social","Education"
"Colorectal","Education","level 3",-0.0495511481072667,0.761403710892992,0.84155146993436,"neg","Social","Education"
"Colorectal","Education","level 4",0.141195708354671,0.384820589333879,0.475366610353615,"pos","Social","Education"
"Colorectal","Education","level 5",0.0215088002069506,0.895193831780976,0.939953523370025,"pos","Social","Education"
"Colorectal","Education","level 6",-0.0576446705992793,0.723855901409607,0.84155146993436,"neg","Social","Education"
"Colorectal","Education","level 7",-0.285464037743688,0.0741731908240126,0.195144147083215,"neg","Social","Education"
"Colorectal","Education","level 8",-0.164649811916282,0.309978898093188,0.40684730374731,"neg","Social","Education"
"Colorectal","Education","level 9",-0.238201733979632,0.138833689724238,0.208250534586357,"neg","Social","Education"
"Colorectal","Education","≥ level 1",-0.254237408035858,0.113401447577649,0.195144147083215,"neg","Social","Education"
"Colorectal","Education","≥ level 10",-0.24931354918162,0.120803519622943,0.195144147083215,"neg","Social","Education"
"Colorectal","Education","≥ level 2",-0.266524867554606,0.0964279972945942,0.195144147083215,"neg","Social","Education"
"Colorectal","Education","≥ level 3",-0.265418521814883,0.0978712077684384,0.195144147083215,"neg","Social","Education"
"Colorectal","Education","≥ level 4",-0.296915855088585,0.0628123597891181,0.195144147083215,"neg","Social","Education"
"Colorectal","Education","≥ level 5",-0.273588050108283,0.0875960702036315,0.195144147083215,"neg","Social","Education"
"Colorectal","Education","≥ level 6",-0.27544660001082,0.085379590658814,0.195144147083215,"neg","Social","Education"
"Colorectal","Education","≥ level 7",-0.271465386053174,0.0901817393939356,0.195144147083215,"neg","Social","Education"
"Colorectal","Education","≥ level 8",-0.25430836032718,0.113297350904224,0.195144147083215,"neg","Social","Education"
"Colorectal","Education","≥ level 9",-0.266411675794828,0.0965748993030797,0.195144147083215,"neg","Social","Education"
"Kidney","Education","No qualification",-0.292439668152739,0.0670762096001171,0.229139175074397,"neg","Social","Education"
"Kidney","Education","level 1",-0.208723125616405,0.196180019215553,0.274652026901774,"neg","Social","Education"
"Kidney","Education","level 10",0.260193912372166,0.104911467069643,0.229139175074397,"pos","Social","Education"
"Kidney","Education","level 2",-0.231433090671451,0.150749635678411,0.243518642249742,"neg","Social","Education"
"Kidney","Education","level 3",0.174599098713277,0.281235027793519,0.347407975509641,"pos","Social","Education"
"Kidney","Education","level 4",-0.18448325736728,0.254456818608391,0.333974574423513,"neg","Social","Education"
"Kidney","Education","level 5",0.158442381819553,0.328822593001635,0.363435497528123,"pos","Social","Education"
"Kidney","Education","level 6",0.111507055150836,0.493337201136129,0.493337201136129,"pos","Social","Education"
"Kidney","Education","level 7",0.210875036780676,0.191503581401957,0.274652026901774,"pos","Social","Education"
"Kidney","Education","level 8",0.111754839961261,0.492371100111906,0.493337201136129,"pos","Social","Education"
"Kidney","Education","level 9",0.164978930369621,0.308999312449074,0.360499197857254,"pos","Social","Education"
"Kidney","Education","≥ level 1",0.292439668152739,0.0670762096001172,0.229139175074397,"pos","Social","Education"
"Kidney","Education","≥ level 10",0.351173685803725,0.0262909312185275,0.229139175074397,"pos","Social","Education"
"Kidney","Education","≥ level 2",0.266902166076011,0.095939572421301,0.229139175074397,"pos","Social","Education"
"Kidney","Education","≥ level 3",0.265769617445423,0.097411426299947,0.229139175074397,"pos","Social","Education"
"Kidney","Education","≥ level 4",0.267252437130881,0.0954878387426903,0.229139175074397,"pos","Social","Education"
"Kidney","Education","≥ level 5",0.257201550864135,0.10911389289257,0.229139175074397,"pos","Social","Education"
"Kidney","Education","≥ level 6",0.248255006374414,0.122441173132049,0.232757185973594,"pos","Social","Education"
"Kidney","Education","≥ level 7",0.241670412809735,0.133004106270625,0.232757185973594,"pos","Social","Education"
"Kidney","Education","≥ level 8",0.260929005780524,0.103898237129111,0.229139175074397,"pos","Social","Education"
"Kidney","Education","≥ level 9",0.302773735248846,0.0575604388007975,0.229139175074397,"pos","Social","Education"
"Leukaemia","Education","No qualification",-0.195649713201837,0.226319406398283,0.44292551095665,"neg","Social","Education"
"Leukaemia","Education","level 1",-0.181547113693162,0.262226993487586,0.44292551095665,"neg","Social","Education"
"Leukaemia","Education","level 10",0.200466152093395,0.214867393831212,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","level 2",-0.137429628958459,0.397752165029193,0.44292551095665,"neg","Social","Education"
"Leukaemia","Education","level 3",0.20718176855051,0.19957860952854,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","level 4",-0.136569017808739,0.400742128960779,0.44292551095665,"neg","Social","Education"
"Leukaemia","Education","level 5",0.327388630864265,0.0391940253442806,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","level 6",0.028959134453006,0.859207624946253,0.859207624946253,"pos","Social","Education"
"Leukaemia","Education","level 7",0.104658320181371,0.520420938801103,0.546441985741158,"pos","Social","Education"
"Leukaemia","Education","level 8",0.157960580881272,0.330314368701892,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","level 9",0.152584345775877,0.34724485666206,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","≥ level 1",0.195649713201837,0.226319406398283,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","≥ level 10",0.142568319186374,0.380169546896292,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","≥ level 2",0.192723382559413,0.233477884345144,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","≥ level 3",0.18803558116532,0.245263525743622,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","≥ level 4",0.168968136059395,0.297282279047934,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","≥ level 5",0.166414865038621,0.304748415280985,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","≥ level 6",0.147166600390991,0.364831773988658,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","≥ level 7",0.145132055592789,0.371571742242827,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","≥ level 8",0.174244162876828,0.282229533075376,0.44292551095665,"pos","Social","Education"
"Leukaemia","Education","≥ level 9",0.159303405701544,0.326167107519781,0.44292551095665,"pos","Social","Education"
"Lung","Education","No qualification",0.520625369450877,0.000573254105152647,0.00255151764367727,"pos","Social","Education"
"Lung","Education","level 1",0.430391663620482,0.00556939002753008,0.00835408504129512,"pos","Social","Education"
"Lung","Education","level 10",-0.438382077244088,0.00466315185551324,0.00753278376659831,"neg","Social","Education"
"Lung","Education","level 2",0.40705930818503,0.0091391445623677,0.0119951272381076,"pos","Social","Education"
