DHB,year,sex,cancer,incidence_num,incidence_rate
Bay of Plenty,2011,Male,Lung,64,35.2
Canterbury,2011,Male,Lung,103,26.8
Capital & Coast,2011,Male,Lung,51,28.1
Counties Manukau,2011,Male,Lung,109,40.2
Hawke's Bay,2011,Male,Lung,50,40.3
Hutt Valley,2011,Male,Lung,30,31.4
Lakes,2011,Male,Lung,28,37.1
MidCentral,2011,Male,Lung,55,39.7
Nelson Marlborough,2011,Male,Lung,36,28.2
Northland,2011,Male,Lung,46,31.8
South Canterbury,2011,Male,Lung,25,42.7
Southern,2011,Male,Lung,83,33.3
Tairawhiti,2011,Male,Lung,11,33.8
Taranaki,2011,Male,Lung,34,37.4
Waikato,2011,Male,Lung,98,35.5
Wairarapa,2011,Male,Lung,13,33.6
Waitemata,2011,Male,Lung,112,31.3
West Coast,2011,Male,Lung,7,23.7
Whanganui,2011,Male,Lung,18,31.2
All New Zealand,2011,Male,Melanoma,1205,40.6
Auckland,2011,Male,Melanoma,108,42.4
Bay of Plenty,2011,Male,Melanoma,84,49.2
Canterbury,2011,Male,Melanoma,152,45.4
Capital & Coast,2011,Male,Melanoma,60,34.8
Counties Manukau,2011,Male,Melanoma,98,37
Hawke's Bay,2011,Male,Melanoma,39,34.5
Hutt Valley,2011,Male,Melanoma,35,35.5
Lakes,2011,Male,Melanoma,28,41.1
MidCentral,2011,Male,Melanoma,41,32.2
Nelson Marlborough,2011,Male,Melanoma,43,35.4
Northland,2011,Male,Melanoma,50,36.7
South Canterbury,2011,Male,Melanoma,17,31.9
Southern,2011,Male,Melanoma,85,37.2
Tairawhiti,2011,Male,Melanoma,9,35.1
Taranaki,2011,Male,Melanoma,35,40.6
Waikato,2011,Male,Melanoma,124,49
Wairarapa,2011,Male,Melanoma,5,0
Waitemata,2011,Male,Melanoma,163,48
West Coast,2011,Male,Melanoma,9,35.7
Whanganui,2011,Male,Melanoma,19,39.5
All New Zealand,2011,Male,Non-Hodgkin lymphoma,383,13.1
Auckland,2011,Male,Non-Hodgkin lymphoma,34,13.7
Bay of Plenty,2011,Male,Non-Hodgkin lymphoma,24,15
Canterbury,2011,Male,Non-Hodgkin lymphoma,38,10.7
Capital & Coast,2011,Male,Non-Hodgkin lymphoma,18,10.4
Counties Manukau,2011,Male,Non-Hodgkin lymphoma,35,13.4
Hawke's Bay,2011,Male,Non-Hodgkin lymphoma,14,10.6
Hutt Valley,2011,Male,Non-Hodgkin lymphoma,13,13.4
Lakes,2011,Male,Non-Hodgkin lymphoma,8,10.5
MidCentral,2011,Male,Non-Hodgkin lymphoma,15,13.8
Nelson Marlborough,2011,Male,Non-Hodgkin lymphoma,20,21.6
Northland,2011,Male,Non-Hodgkin lymphoma,22,17.8
South Canterbury,2011,Male,Non-Hodgkin lymphoma,3,0
Southern,2011,Male,Non-Hodgkin lymphoma,23,10
Tairawhiti,2011,Male,Non-Hodgkin lymphoma,6,19.5
Taranaki,2011,Male,Non-Hodgkin lymphoma,20,22.6
Waikato,2011,Male,Non-Hodgkin lymphoma,30,12.4
Wairarapa,2011,Male,Non-Hodgkin lymphoma,3,0
Waitemata,2011,Male,Non-Hodgkin lymphoma,45,13.5
West Coast,2011,Male,Non-Hodgkin lymphoma,1,0
Whanganui,2011,Male,Non-Hodgkin lymphoma,9,14.8
All New Zealand,2011,Male,Pancreas,227,7.1
Auckland,2011,Male,Pancreas,25,9.9
Bay of Plenty,2011,Male,Pancreas,10,4.7
Canterbury,2011,Male,Pancreas,31,7.6
Capital & Coast,2011,Male,Pancreas,10,5.4
Counties Manukau,2011,Male,Pancreas,21,7.7
Hawke's Bay,2011,Male,Pancreas,5,0
Hutt Valley,2011,Male,Pancreas,6,6.2
Lakes,2011,Male,Pancreas,7,10
MidCentral,2011,Male,Pancreas,15,10.2
Nelson Marlborough,2011,Male,Pancreas,7,5.3
Northland,2011,Male,Pancreas,6,3.9
South Canterbury,2011,Male,Pancreas,1,0
Southern,2011,Male,Pancreas,19,7.4
Tairawhiti,2011,Male,Pancreas,1,0
Taranaki,2011,Male,Pancreas,5,0
Waikato,2011,Male,Pancreas,24,8.9
Wairarapa,2011,Male,Pancreas,4,0
Waitemata,2011,Male,Pancreas,22,6.1
West Coast,2011,Male,Pancreas,3,0
Whanganui,2011,Male,Pancreas,4,0
All New Zealand,2011,Male,Prostate,3094,99.9
Auckland,2011,Male,Prostate,247,98.9
Bay of Plenty,2011,Male,Prostate,211,115.2
Canterbury,2011,Male,Prostate,397,108.3
Capital & Coast,2011,Male,Prostate,201,115.1
Counties Manukau,2011,Male,Prostate,237,86.4
Hawke's Bay,2011,Male,Prostate,116,90.6
Hutt Valley,2011,Male,Prostate,119,126.7
Lakes,2011,Male,Prostate,88,118.7
MidCentral,2011,Male,Prostate,138,104.8
Nelson Marlborough,2011,Male,Prostate,133,103.8
Northland,2011,Male,Prostate,145,100.9
South Canterbury,2011,Male,Prostate,55,97.3
Southern,2011,Male,Prostate,186,78.5
Tairawhiti,2011,Male,Prostate,30,92.4
Taranaki,2011,Male,Prostate,78,89.7
Waikato,2011,Male,Prostate,270,101.6
Wairarapa,2011,Male,Prostate,48,121.5
Waitemata,2011,Male,Prostate,279,79.6
West Coast,2011,Male,Prostate,34,115.1
Whanganui,2011,Male,Prostate,79,153.2
All New Zealand,2011,Male,Testis,151,7.5
Auckland,2011,Male,Testis,17,7
Bay of Plenty,2011,Male,Testis,10,11.5
Canterbury,2011,Male,Testis,18,7.6
Capital & Coast,2011,Male,Testis,6,4.1
Counties Manukau,2011,Male,Testis,8,3.5
Hawke's Bay,2011,Male,Testis,4,0
Hutt Valley,2011,Male,Testis,5,0
Lakes,2011,Male,Testis,6,14.4
MidCentral,2011,Male,Testis,6,8.3
Nelson Marlborough,2011,Male,Testis,6,10.9
Northland,2011,Male,Testis,5,0
South Canterbury,2011,Male,Testis,3,0
Southern,2011,Male,Testis,10,7.3
Tairawhiti,2011,Male,Testis,3,0
Taranaki,2011,Male,Testis,6,13.9
Waikato,2011,Male,Testis,15,9.2
Wairarapa,2011,Male,Testis,2,0
Waitemata,2011,Male,Testis,20,7.7
Whanganui,2011,Male,Testis,1,0
All New Zealand,2012,Male,Bladder,237,7.1
Auckland,2012,Male,Bladder,16,6.2
Bay of Plenty,2012,Male,Bladder,15,6.9
Canterbury,2012,Male,Bladder,27,6.9
Capital & Coast,2012,Male,Bladder,16,8.8
Counties Manukau,2012,Male,Bladder,18,6.4
Hawke's Bay,2012,Male,Bladder,9,6.8
Hutt Valley,2012,Male,Bladder,8,7.6
Lakes,2012,Male,Bladder,8,9.9
MidCentral,2012,Male,Bladder,9,7.5
Nelson Marlborough,2012,Male,Bladder,8,5.2
Northland,2012,Male,Bladder,11,7
South Canterbury,2012,Male,Bladder,5,0
Southern,2012,Male,Bladder,18,6.8
Tairawhiti,2012,Male,Bladder,5,0
Taranaki,2012,Male,Bladder,7,7.2
Waikato,2012,Male,Bladder,15,5.2
Wairarapa,2012,Male,Bladder,4,0
Waitemata,2012,Male,Bladder,29,7.7
West Coast,2012,Male,Bladder,2,0
Whanganui,2012,Male,Bladder,6,10.2
All New Zealand,2012,Male,Colorectal,1559,48.8
Auckland,2012,Male,Colorectal,101,38.1
Bay of Plenty,2012,Male,Colorectal,100,53.2
Canterbury,2012,Male,Colorectal,185,48.8
Capital & Coast,2012,Male,Colorectal,73,40.8
Counties Manukau,2012,Male,Colorectal,93,33.6
Hawke's Bay,2012,Male,Colorectal,62,48.4
Hutt Valley,2012,Male,Colorectal,43,43.8
Lakes,2012,Male,Colorectal,39,50.6
MidCentral,2012,Male,Colorectal,72,54.4
Nelson Marlborough,2012,Male,Colorectal,60,48.1
Northland,2012,Male,Colorectal,71,46.7
South Canterbury,2012,Male,Colorectal,36,60.6
Southern,2012,Male,Colorectal,158,64.8
Tairawhiti,2012,Male,Colorectal,18,55
Taranaki,2012,Male,Colorectal,48,49.8
Waikato,2012,Male,Colorectal,146,51.7
Wairarapa,2012,Male,Colorectal,17,42.4
Waitemata,2012,Male,Colorectal,197,54.7
West Coast,2012,Male,Colorectal,15,48.8
Whanganui,2012,Male,Colorectal,23,43.7
All New Zealand,2012,Male,Kidney,355,11.8
Auckland,2012,Male,Kidney,33,13.1
Bay of Plenty,2012,Male,Kidney,17,9.5
Canterbury,2012,Male,Kidney,53,14.5
Capital & Coast,2012,Male,Kidney,12,6.9
Counties Manukau,2012,Male,Kidney,32,11.7
Hawke's Bay,2012,Male,Kidney,13,9.9
Hutt Valley,2012,Male,Kidney,9,9.2
Lakes,2012,Male,Kidney,6,7.7
MidCentral,2012,Male,Kidney,12,8.8
Nelson Marlborough,2012,Male,Kidney,13,10.8
Northland,2012,Male,Kidney,19,14.5
South Canterbury,2012,Male,Kidney,8,15
Southern,2012,Male,Kidney,26,12.2
Tairawhiti,2012,Male,Kidney,4,0
Taranaki,2012,Male,Kidney,9,10.4
Waikato,2012,Male,Kidney,33,12.8
Wairarapa,2012,Male,Kidney,4,0
Waitemata,2012,Male,Kidney,34,9.7
West Coast,2012,Male,Kidney,8,31.4
Whanganui,2012,Male,Kidney,8,19.8
All New Zealand,2012,Male,Leukaemia,366,12.6
Auckland,2012,Male,Leukaemia,25,10.4
Bay of Plenty,2012,Male,Leukaemia,23,16.5
Canterbury,2012,Male,Leukaemia,37,11
Capital & Coast,2012,Male,Leukaemia,22,12.6
Counties Manukau,2012,Male,Leukaemia,24,9.4
Hawke's Bay,2012,Male,Leukaemia,13,10.5
Hutt Valley,2012,Male,Leukaemia,15,16.7
Lakes,2012,Male,Leukaemia,11,14.6
MidCentral,2012,Male,Leukaemia,15,12.3
Nelson Marlborough,2012,Male,Leukaemia,21,15
Northland,2012,Male,Leukaemia,19,13.2
South Canterbury,2012,Male,Leukaemia,9,18.4
Southern,2012,Male,Leukaemia,30,15
Tairawhiti,2012,Male,Leukaemia,6,17.7
Taranaki,2012,Male,Leukaemia,5,0
Waikato,2012,Male,Leukaemia,36,13.8
Wairarapa,2012,Male,Leukaemia,6,15.5
Waitemata,2012,Male,Leukaemia,35,10.5
West Coast,2012,Male,Leukaemia,5,0
Whanganui,2012,Male,Leukaemia,9,20.7
All New Zealand,2012,Male,Lung,1083,33.3
Auckland,2012,Male,Lung,79,30.1
Bay of Plenty,2012,Male,Lung,70,36.3
Canterbury,2012,Male,Lung,125,33.1
Capital & Coast,2012,Male,Lung,53,29
Counties Manukau,2012,Male,Lung,82,29.3
Hawke's Bay,2012,Male,Lung,41,30.6
Hutt Valley,2012,Male,Lung,29,28.1
Lakes,2012,Male,Lung,23,29.9
MidCentral,2012,Male,Lung,43,29.3
Nelson Marlborough,2012,Male,Lung,34,25.9
Northland,2012,Male,Lung,52,34.8
South Canterbury,2012,Male,Lung,24,37.8
Southern,2012,Male,Lung,85,35.1
Tairawhiti,2012,Male,Lung,15,45.7
Taranaki,2012,Male,Lung,36,36.5
Waikato,2012,Male,Lung,107,37.5
Wairarapa,2012,Male,Lung,13,30.3
Waitemata,2012,Male,Lung,137,36.5
West Coast,2012,Male,Lung,10,36.6
Whanganui,2012,Male,Lung,22,40.7
All New Zealand,2012,Male,Melanoma,1230,40.5
Auckland,2012,Male,Melanoma,121,46.6
Bay of Plenty,2012,Male,Melanoma,90,51.4
Canterbury,2012,Male,Melanoma,146,41.5
Capital & Coast,2012,Male,Melanoma,55,30.9
Counties Manukau,2012,Male,Melanoma,96,34.7
Hawke's Bay,2012,Male,Melanoma,29,23
Hutt Valley,2012,Male,Melanoma,30,31.8
Lakes,2012,Male,Melanoma,35,47.8
MidCentral,2012,Male,Melanoma,62,51.8
Nelson Marlborough,2012,Male,Melanoma,43,37.5
Northland,2012,Male,Melanoma,41,30.6
South Canterbury,2012,Male,Melanoma,17,33.7
Southern,2012,Male,Melanoma,70,30.8
Tairawhiti,2012,Male,Melanoma,11,43
Taranaki,2012,Male,Melanoma,41,51.1
Waikato,2012,Male,Melanoma,107,40.2
Wairarapa,2012,Male,Melanoma,17,49.1
Waitemata,2012,Male,Melanoma,183,51.5
West Coast,2012,Male,Melanoma,14,54.9
Whanganui,2012,Male,Melanoma,21,40.3
All New Zealand,2012,Male,Non-Hodgkin lymphoma,439,14.3
Auckland,2012,Male,Non-Hodgkin lymphoma,42,16.1
Bay of Plenty,2012,Male,Non-Hodgkin lymphoma,28,15.9
Canterbury,2012,Male,Non-Hodgkin lymphoma,49,13.9
Capital & Coast,2012,Male,Non-Hodgkin lymphoma,27,15.1
Counties Manukau,2012,Male,Non-Hodgkin lymphoma,34,12.5
Hawke's Bay,2012,Male,Non-Hodgkin lymphoma,16,11.8
Hutt Valley,2012,Male,Non-Hodgkin lymphoma,18,19.6
Lakes,2012,Male,Non-Hodgkin lymphoma,7,10
MidCentral,2012,Male,Non-Hodgkin lymphoma,15,11.7
Nelson Marlborough,2012,Male,Non-Hodgkin lymphoma,21,18.5
Northland,2012,Male,Non-Hodgkin lymphoma,13,10
South Canterbury,2012,Male,Non-Hodgkin lymphoma,11,20.2
Southern,2012,Male,Non-Hodgkin lymphoma,31,13
Tairawhiti,2012,Male,Non-Hodgkin lymphoma,4,0
Taranaki,2012,Male,Non-Hodgkin lymphoma,15,17
Waikato,2012,Male,Non-Hodgkin lymphoma,29,10.5
Wairarapa,2012,Male,Non-Hodgkin lymphoma,7,17
Waitemata,2012,Male,Non-Hodgkin lymphoma,57,15.8
West Coast,2012,Male,Non-Hodgkin lymphoma,5,0
Whanganui,2012,Male,Non-Hodgkin lymphoma,8,15.7
All New Zealand,2012,Male,Pancreas,270,8.3
Auckland,2012,Male,Pancreas,20,7.3
Bay of Plenty,2012,Male,Pancreas,15,7.2
Canterbury,2012,Male,Pancreas,27,7.4
Capital & Coast,2012,Male,Pancreas,20,11.1
Counties Manukau,2012,Male,Pancreas,27,9.7
Hawke's Bay,2012,Male,Pancreas,15,11.4
Hutt Valley,2012,Male,Pancreas,9,8.2
Lakes,2012,Male,Pancreas,7,9.6
MidCentral,2012,Male,Pancreas,8,6.2
Nelson Marlborough,2012,Male,Pancreas,8,5.4
Northland,2012,Male,Pancreas,16,11.2
South Canterbury,2012,Male,Pancreas,3,0
Southern,2012,Male,Pancreas,19,7.6
Tairawhiti,2012,Male,Pancreas,3,0
Taranaki,2012,Male,Pancreas,3,0
Waikato,2012,Male,Pancreas,25,8.7
Wairarapa,2012,Male,Pancreas,3,0
Waitemata,2012,Male,Pancreas,36,9.7
West Coast,2012,Male,Pancreas,2,0
Whanganui,2012,Male,Pancreas,3,0
All New Zealand,2012,Male,Prostate,3195,100.1
Auckland,2012,Male,Prostate,243,94.2
Bay of Plenty,2012,Male,Prostate,153,85.6
Canterbury,2012,Male,Prostate,444,118.5
Capital & Coast,2012,Male,Prostate,186,103.2
Counties Manukau,2012,Male,Prostate,246,86.4
Hawke's Bay,2012,Male,Prostate,119,91.7
Hutt Valley,2012,Male,Prostate,106,108.2
Lakes,2012,Male,Prostate,78,100.9
MidCentral,2012,Male,Prostate,140,104.5
Nelson Marlborough,2012,Male,Prostate,129,98.8
Northland,2012,Male,Prostate,143,100.6
South Canterbury,2012,Male,Prostate,59,103.3
Southern,2012,Male,Prostate,260,106.5
Tairawhiti,2012,Male,Prostate,43,129.1
Taranaki,2012,Male,Prostate,91,98.3
Waikato,2012,Male,Prostate,279,100.9
Wairarapa,2012,Male,Prostate,45,109.1
Waitemata,2012,Male,Prostate,341,93.8
West Coast,2012,Male,Prostate,30,100.2
Whanganui,2012,Male,Prostate,59,107.7
All New Zealand,2012,Male,Testis,145,7.3
Auckland,2012,Male,Testis,15,6.2
Bay of Plenty,2012,Male,Testis,8,10.2
Canterbury,2012,Male,Testis,16,6.9
Capital & Coast,2012,Male,Testis,8,5.4
Counties Manukau,2012,Male,Testis,13,6.1
Hawke's Bay,2012,Male,Testis,8,12.2
Hutt Valley,2012,Male,Testis,8,13.5
Lakes,2012,Male,Testis,2,0
MidCentral,2012,Male,Testis,4,0
Nelson Marlborough,2012,Male,Testis,8,10.3
Northland,2012,Male,Testis,5,0
South Canterbury,2012,Male,Testis,3,0
Southern,2012,Male,Testis,7,5.1
Tairawhiti,2012,Male,Testis,1,0
Taranaki,2012,Male,Testis,3,0
Waikato,2012,Male,Testis,16,10.3
Waitemata,2012,Male,Testis,18,6.9
West Coast,2012,Male,Testis,1,0
Whanganui,2012,Male,Testis,1,0
All New Zealand,2013,Male,Bladder,274,8
Auckland,2013,Male,Bladder,27,9.8
Bay of Plenty,2013,Male,Bladder,27,12.1
Canterbury,2013,Male,Bladder,28,6.7
Capital & Coast,2013,Male,Bladder,12,5.9
Counties Manukau,2013,Male,Bladder,34,12.2
Hawke's Bay,2013,Male,Bladder,10,8.3
Hutt Valley,2013,Male,Bladder,8,7.8
Lakes,2013,Male,Bladder,6,7
MidCentral,2013,Male,Bladder,11,7.8
Nelson Marlborough,2013,Male,Bladder,8,5.2
Northland,2013,Male,Bladder,6,3.6
South Canterbury,2013,Male,Bladder,5,0
Southern,2013,Male,Bladder,10,3.5
Tairawhiti,2013,Male,Bladder,2,0
Taranaki,2013,Male,Bladder,13,13.1
Waikato,2013,Male,Bladder,25,8.5
Wairarapa,2013,Male,Bladder,4,0
Waitemata,2013,Male,Bladder,31,7.6
West Coast,2013,Male,Bladder,1,0
Whanganui,2013,Male,Bladder,6,9.5
All New Zealand,2013,Male,Colorectal,1602,48.5
Auckland,2013,Male,Colorectal,124,46.4
Bay of Plenty,2013,Male,Colorectal,83,43.2
Canterbury,2013,Male,Colorectal,184,47
Capital & Coast,2013,Male,Colorectal,77,41.4
Counties Manukau,2013,Male,Colorectal,100,35.1
Hawke's Bay,2013,Male,Colorectal,59,45.5
Hutt Valley,2013,Male,Colorectal,45,43.8
Lakes,2013,Male,Colorectal,36,46
MidCentral,2013,Male,Colorectal,67,48.3
Nelson Marlborough,2013,Male,Colorectal,57,42.6
Northland,2013,Male,Colorectal,87,56.3
South Canterbury,2013,Male,Colorectal,31,51.6
Southern,2013,Male,Colorectal,150,58.3
Tairawhiti,2013,Male,Colorectal,13,38.3
Taranaki,2013,Male,Colorectal,54,58.4
Waikato,2013,Male,Colorectal,148,50.4
Wairarapa,2013,Male,Colorectal,15,36.2
Waitemata,2013,Male,Colorectal,231,60.8
West Coast,2013,Male,Colorectal,8,25.7
Whanganui,2013,Male,Colorectal,27,46.9
All New Zealand,2013,Male,Kidney,372,11.9
Auckland,2013,Male,Kidney,38,14.4
Bay of Plenty,2013,Male,Kidney,21,12.2
Canterbury,2013,Male,Kidney,39,10.1
Capital & Coast,2013,Male,Kidney,20,10.6
Counties Manukau,2013,Male,Kidney,46,16.4
Hawke's Bay,2013,Male,Kidney,7,5.4
Hutt Valley,2013,Male,Kidney,13,14
Lakes,2013,Male,Kidney,15,20.9
MidCentral,2013,Male,Kidney,20,16
Nelson Marlborough,2013,Male,Kidney,10,7.3
Northland,2013,Male,Kidney,14,10.2
South Canterbury,2013,Male,Kidney,7,14
Southern,2013,Male,Kidney,34,14.1
Tairawhiti,2013,Male,Kidney,3,0
Taranaki,2013,Male,Kidney,7,8.6
Waikato,2013,Male,Kidney,21,7.9
Wairarapa,2013,Male,Kidney,5,0
Waitemata,2013,Male,Kidney,45,12.3
West Coast,2013,Male,Kidney,2,0
Whanganui,2013,Male,Kidney,4,0
All New Zealand,2013,Male,Leukaemia,409,13.9
Auckland,2013,Male,Leukaemia,37,14.8
Bay of Plenty,2013,Male,Leukaemia,26,15.3
Canterbury,2013,Male,Leukaemia,54,15.5
Capital & Coast,2013,Male,Leukaemia,19,11.1
Counties Manukau,2013,Male,Leukaemia,33,12
Hawke's Bay,2013,Male,Leukaemia,19,15.4
Hutt Valley,2013,Male,Leukaemia,15,18.2
Lakes,2013,Male,Leukaemia,6,9.7
MidCentral,2013,Male,Leukaemia,14,14.2
Nelson Marlborough,2013,Male,Leukaemia,16,12.6
Northland,2013,Male,Leukaemia,23,15.2
South Canterbury,2013,Male,Leukaemia,7,13.3
Southern,2013,Male,Leukaemia,32,13.9
Tairawhiti,2013,Male,Leukaemia,3,0
Taranaki,2013,Male,Leukaemia,8,8.4
Waikato,2013,Male,Leukaemia,29,11.9
Wairarapa,2013,Male,Leukaemia,2,0
Waitemata,2013,Male,Leukaemia,51,15.1
West Coast,2013,Male,Leukaemia,3,0
Whanganui,2013,Male,Leukaemia,9,14.2
All New Zealand,2013,Male,Lung,1051,31.1
Auckland,2013,Male,Lung,73,27.2
Bay of Plenty,2013,Male,Lung,61,29.4
Canterbury,2013,Male,Lung,112,28
Capital & Coast,2013,Male,Lung,51,26.2
Counties Manukau,2013,Male,Lung,118,40.5
Hawke's Bay,2013,Male,Lung,47,34.7
Hutt Valley,2013,Male,Lung,38,37.8
Lakes,2013,Male,Lung,25,30.2
MidCentral,2013,Male,Lung,49,33.6
Nelson Marlborough,2013,Male,Lung,36,24.4
Northland,2013,Male,Lung,52,33.7
South Canterbury,2013,Male,Lung,14,25
Southern,2013,Male,Lung,74,28.1
Tairawhiti,2013,Male,Lung,11,31.3
Taranaki,2013,Male,Lung,30,31.3
Waikato,2013,Male,Lung,92,31.2
Wairarapa,2013,Male,Lung,13,32.2
Waitemata,2013,Male,Lung,107,28
West Coast,2013,Male,Lung,23,77.1
Whanganui,2013,Male,Lung,21,33.9
All New Zealand,2013,Male,Melanoma,1224,39.3
Auckland,2013,Male,Melanoma,89,33.7
Bay of Plenty,2013,Male,Melanoma,63,36.2
Canterbury,2013,Male,Melanoma,158,43.9
Capital & Coast,2013,Male,Melanoma,57,30.5
Counties Manukau,2013,Male,Melanoma,105,36.5
Hawke's Bay,2013,Male,Melanoma,36,27.3
Hutt Valley,2013,Male,Melanoma,42,43.4
Lakes,2013,Male,Melanoma,28,35.4
MidCentral,2013,Male,Melanoma,62,49.4
Nelson Marlborough,2013,Male,Melanoma,50,35.3
Northland,2013,Male,Melanoma,47,33.8
South Canterbury,2013,Male,Melanoma,19,42.4
Southern,2013,Male,Melanoma,93,42.5
Tairawhiti,2013,Male,Melanoma,8,30.7
Taranaki,2013,Male,Melanoma,41,46.6
Waikato,2013,Male,Melanoma,114,42
Wairarapa,2013,Male,Melanoma,14,50
Waitemata,2013,Male,Melanoma,162,44.3
West Coast,2013,Male,Melanoma,10,46
Whanganui,2013,Male,Melanoma,26,53.3
All New Zealand,2013,Male,Non-Hodgkin lymphoma,458,14.6
Auckland,2013,Male,Non-Hodgkin lymphoma,39,14.8
Bay of Plenty,2013,Male,Non-Hodgkin lymphoma,24,13.6
Canterbury,2013,Male,Non-Hodgkin lymphoma,70,18.7
Capital & Coast,2013,Male,Non-Hodgkin lymphoma,24,13.4
Counties Manukau,2013,Male,Non-Hodgkin lymphoma,39,13.5
Hawke's Bay,2013,Male,Non-Hodgkin lymphoma,21,16.4
Hutt Valley,2013,Male,Non-Hodgkin lymphoma,13,13.7
Lakes,2013,Male,Non-Hodgkin lymphoma,10,14.7
MidCentral,2013,Male,Non-Hodgkin lymphoma,15,10.4
Nelson Marlborough,2013,Male,Non-Hodgkin lymphoma,28,21.7
Northland,2013,Male,Non-Hodgkin lymphoma,15,11.2
South Canterbury,2013,Male,Non-Hodgkin lymphoma,4,0
Southern,2013,Male,Non-Hodgkin lymphoma,35,15
Tairawhiti,2013,Male,Non-Hodgkin lymphoma,3,0
Taranaki,2013,Male,Non-Hodgkin lymphoma,11,12.5
Waikato,2013,Male,Non-Hodgkin lymphoma,30,10.6
Wairarapa,2013,Male,Non-Hodgkin lymphoma,7,20.2
Waitemata,2013,Male,Non-Hodgkin lymphoma,58,16.2
West Coast,2013,Male,Non-Hodgkin lymphoma,5,0
