DHB,year,sex,cancer,mortality_num,mortality_rate,group
Wairarapa,2012,Male,Melanoma,2,0.0,Male
Waitemata,2012,Male,Melanoma,25,6.5,Male
Whanganui,2012,Male,Melanoma,3,0.0,Male
All New Zealand,2012,Male,Prostate,607,16.9,Male
Auckland,2012,Male,Prostate,39,14.0,Male
Bay of Plenty,2012,Male,Prostate,44,19.0,Male
Canterbury,2012,Male,Prostate,61,14.4,Male
Capital & Coast,2012,Male,Prostate,34,16.7,Male
Counties Manukau,2012,Male,Prostate,44,15.7,Male
Hawke's Bay,2012,Male,Prostate,26,17.6,Male
Hutt Valley,2012,Male,Prostate,30,27.9,Male
Lakes,2012,Male,Prostate,19,22.6,Male
MidCentral,2012,Male,Prostate,23,14.5,Male
Nelson Marlborough,2012,Male,Prostate,26,16.5,Male
Northland,2012,Male,Prostate,30,18.5,Male
South Canterbury,2012,Male,Prostate,12,18.3,Male
Southern,2012,Male,Prostate,63,23.0,Male
Tairawhiti,2012,Male,Prostate,6,16.5,Male
Taranaki,2012,Male,Prostate,13,11.8,Male
Waikato,2012,Male,Prostate,50,16.2,Male
Wairarapa,2012,Male,Prostate,10,22.0,Male
Waitemata,2012,Male,Prostate,56,13.9,Male
West Coast,2012,Male,Prostate,10,31.0,Male
Whanganui,2012,Male,Prostate,11,17.4,Male
All New Zealand,2012,Male,Stomach,178,5.5,Male
Auckland,2012,Male,Stomach,11,4.1,Male
Bay of Plenty,2012,Male,Stomach,10,5.1,Male
Canterbury,2012,Male,Stomach,29,7.4,Male
Capital & Coast,2012,Male,Stomach,5,0.0,Male
Counties Manukau,2012,Male,Stomach,20,7.2,Male
Hawke's Bay,2012,Male,Stomach,8,6.9,Male
Hutt Valley,2012,Male,Stomach,4,0.0,Male
Lakes,2012,Male,Stomach,7,8.2,Male
MidCentral,2012,Male,Stomach,8,5.2,Male
Nelson Marlborough,2012,Male,Stomach,5,0.0,Male
Northland,2012,Male,Stomach,14,9.8,Male
South Canterbury,2012,Male,Stomach,3,0.0,Male
Southern,2012,Male,Stomach,13,5.3,Male
Tairawhiti,2012,Male,Stomach,1,0.0,Male
Taranaki,2012,Male,Stomach,4,0.0,Male
Waikato,2012,Male,Stomach,14,5.1,Male
Wairarapa,2012,Male,Stomach,5,0.0,Male
Waitemata,2012,Male,Stomach,15,4.4,Male
Whanganui,2012,Male,Stomach,2,0.0,Male
All New Zealand,2013,Male,Liver,174,5.4,Male
Auckland,2013,Male,Liver,20,7.5,Male
Bay of Plenty,2013,Male,Liver,12,6.9,Male
Canterbury,2013,Male,Liver,10,2.6,Male
Capital & Coast,2013,Male,Liver,14,7.4,Male
Counties Manukau,2013,Male,Liver,20,6.8,Male
Hawke's Bay,2013,Male,Liver,5,0.0,Male
Hutt Valley,2013,Male,Liver,3,0.0,Male
Lakes,2013,Male,Liver,11,14.0,Male
MidCentral,2013,Male,Liver,8,5.4,Male
Nelson Marlborough,2013,Male,Liver,7,5.1,Male
Northland,2013,Male,Liver,11,7.4,Male
South Canterbury,2013,Male,Liver,3,0.0,Male
Southern,2013,Male,Liver,8,3.0,Male
Taranaki,2013,Male,Liver,4,0.0,Male
Waikato,2013,Male,Liver,18,6.4,Male
Wairarapa,2013,Male,Liver,4,0.0,Male
Waitemata,2013,Male,Liver,14,3.8,Male
West Coast,2013,Male,Liver,1,0.0,Male
Whanganui,2013,Male,Liver,1,0.0,Male
All New Zealand,2013,Male,Melanoma,232,6.9,Male
Auckland,2013,Male,Melanoma,11,4.1,Male
Bay of Plenty,2013,Male,Melanoma,14,7.0,Male
Canterbury,2013,Male,Melanoma,35,8.5,Male
Capital & Coast,2013,Male,Melanoma,8,4.2,Male
Counties Manukau,2013,Male,Melanoma,16,5.5,Male
Hawke's Bay,2013,Male,Melanoma,12,9.0,Male
Hutt Valley,2013,Male,Melanoma,5,0.0,Male
Lakes,2013,Male,Melanoma,7,8.9,Male
MidCentral,2013,Male,Melanoma,11,8.8,Male
Nelson Marlborough,2013,Male,Melanoma,10,8.2,Male
Northland,2013,Male,Melanoma,18,11.4,Male
South Canterbury,2013,Male,Melanoma,4,0.0,Male
Southern,2013,Male,Melanoma,9,3.4,Male
Tairawhiti,2013,Male,Melanoma,3,0.0,Male
Taranaki,2013,Male,Melanoma,1,0.0,Male
Waikato,2013,Male,Melanoma,28,9.6,Male
Wairarapa,2013,Male,Melanoma,4,0.0,Male
Waitemata,2013,Male,Melanoma,27,7.1,Male
West Coast,2013,Male,Melanoma,4,0.0,Male
Whanganui,2013,Male,Melanoma,5,0.0,Male
All New Zealand,2013,Male,Prostate,646,17.4,Male
Auckland,2013,Male,Prostate,40,13.2,Male
Bay of Plenty,2013,Male,Prostate,39,16.7,Male
Canterbury,2013,Male,Prostate,67,15.5,Male
Capital & Coast,2013,Male,Prostate,34,17.1,Male
Counties Manukau,2013,Male,Prostate,47,16.0,Male
Hawke's Bay,2013,Male,Prostate,23,15.0,Male
Hutt Valley,2013,Male,Prostate,23,21.1,Male
Lakes,2013,Male,Prostate,15,17.3,Male
MidCentral,2013,Male,Prostate,27,16.4,Male
Nelson Marlborough,2013,Male,Prostate,44,26.7,Male
Northland,2013,Male,Prostate,28,16.1,Male
South Canterbury,2013,Male,Prostate,10,14.7,Male
Southern,2013,Male,Prostate,54,18.7,Male
Tairawhiti,2013,Male,Prostate,10,28.1,Male
Taranaki,2013,Male,Prostate,29,25.3,Male
Waikato,2013,Male,Prostate,80,24.9,Male
Wairarapa,2013,Male,Prostate,6,13.7,Male
Waitemata,2013,Male,Prostate,58,13.8,Male
West Coast,2013,Male,Prostate,2,0.0,Male
Whanganui,2013,Male,Prostate,10,13.9,Male
All New Zealand,2013,Male,Stomach,176,5.3,Male
Auckland,2013,Male,Stomach,15,5.5,Male
Bay of Plenty,2013,Male,Stomach,8,4.2,Male
Canterbury,2013,Male,Stomach,16,4.2,Male
Capital & Coast,2013,Male,Stomach,13,6.8,Male
Counties Manukau,2013,Male,Stomach,15,5.2,Male
Hawke's Bay,2013,Male,Stomach,3,0.0,Male
Hutt Valley,2013,Male,Stomach,7,7.3,Male
Lakes,2013,Male,Stomach,7,8.8,Male
MidCentral,2013,Male,Stomach,12,9.1,Male
Nelson Marlborough,2013,Male,Stomach,3,0.0,Male
Northland,2013,Male,Stomach,9,5.5,Male
South Canterbury,2013,Male,Stomach,1,0.0,Male
Southern,2013,Male,Stomach,13,4.8,Male
Tairawhiti,2013,Male,Stomach,1,0.0,Male
Taranaki,2013,Male,Stomach,8,7.4,Male
Waikato,2013,Male,Stomach,16,5.5,Male
Wairarapa,2013,Male,Stomach,3,0.0,Male
Waitemata,2013,Male,Stomach,19,4.8,Male
West Coast,2013,Male,Stomach,2,0.0,Male
Whanganui,2013,Male,Stomach,5,0.0,Male
All New Zealand,2014,Male,Liver,165,5.0,Male
Auckland,2014,Male,Liver,22,8.1,Male
Bay of Plenty,2014,Male,Liver,10,4.4,Male
Canterbury,2014,Male,Liver,19,4.8,Male
Capital & Coast,2014,Male,Liver,5,0.0,Male
Counties Manukau,2014,Male,Liver,27,9.1,Male
Hawke's Bay,2014,Male,Liver,7,5.2,Male
Hutt Valley,2014,Male,Liver,3,0.0,Male
Lakes,2014,Male,Liver,4,0.0,Male
MidCentral,2014,Male,Liver,4,0.0,Male
Nelson Marlborough,2014,Male,Liver,7,4.8,Male
Northland,2014,Male,Liver,9,6.2,Male
South Canterbury,2014,Male,Liver,2,0.0,Male
Southern,2014,Male,Liver,8,3.4,Male
Tairawhiti,2014,Male,Liver,1,0.0,Male
Taranaki,2014,Male,Liver,5,0.0,Male
Waikato,2014,Male,Liver,15,5.2,Male
Wairarapa,2014,Male,Liver,2,0.0,Male
Waitemata,2014,Male,Liver,12,3.0,Male
West Coast,2014,Male,Liver,2,0.0,Male
Whanganui,2014,Male,Liver,1,0.0,Male
All New Zealand,2014,Male,Melanoma,235,6.8,Male
Auckland,2014,Male,Melanoma,17,6.1,Male
Bay of Plenty,2014,Male,Melanoma,19,8.8,Male
Canterbury,2014,Male,Melanoma,31,7.4,Male
Capital & Coast,2014,Male,Melanoma,13,6.2,Male
Counties Manukau,2014,Male,Melanoma,20,6.6,Male
Hawke's Bay,2014,Male,Melanoma,15,10.5,Male
Hutt Valley,2014,Male,Melanoma,4,0.0,Male
Lakes,2014,Male,Melanoma,8,9.8,Male
MidCentral,2014,Male,Melanoma,11,7.4,Male
Nelson Marlborough,2014,Male,Melanoma,7,4.5,Male
Northland,2014,Male,Melanoma,12,7.5,Male
South Canterbury,2014,Male,Melanoma,2,0.0,Male
Southern,2014,Male,Melanoma,13,5.0,Male
Tairawhiti,2014,Male,Melanoma,2,0.0,Male
Taranaki,2014,Male,Melanoma,4,0.0,Male
Waikato,2014,Male,Melanoma,18,5.9,Male
Wairarapa,2014,Male,Melanoma,1,0.0,Male
Waitemata,2014,Male,Melanoma,30,7.8,Male
West Coast,2014,Male,Melanoma,3,0.0,Male
Whanganui,2014,Male,Melanoma,5,0.0,Male
All New Zealand,2014,Male,Prostate,651,17.0,Male
Auckland,2014,Male,Prostate,36,12.5,Male
Bay of Plenty,2014,Male,Prostate,43,17.3,Male
Canterbury,2014,Male,Prostate,73,15.8,Male
Capital & Coast,2014,Male,Prostate,32,15.0,Male
Counties Manukau,2014,Male,Prostate,36,11.8,Male
Hawke's Bay,2014,Male,Prostate,30,18.3,Male
Hutt Valley,2014,Male,Prostate,17,14.6,Male
Lakes,2014,Male,Prostate,25,27.8,Male
MidCentral,2014,Male,Prostate,29,18.0,Male
Nelson Marlborough,2014,Male,Prostate,23,14.4,Male
Northland,2014,Male,Prostate,26,14.7,Male
South Canterbury,2014,Male,Prostate,11,15.8,Male
Southern,2014,Male,Prostate,66,23.0,Male
Tairawhiti,2014,Male,Prostate,10,26.7,Male
Taranaki,2014,Male,Prostate,24,20.2,Male
Waikato,2014,Male,Prostate,70,20.8,Male
Wairarapa,2014,Male,Prostate,12,23.7,Male
Waitemata,2014,Male,Prostate,65,14.9,Male
West Coast,2014,Male,Prostate,5,0.0,Male
Whanganui,2014,Male,Prostate,18,26.6,Male
All New Zealand,2014,Male,Stomach,181,5.3,Male
Auckland,2014,Male,Stomach,17,6.1,Male
Bay of Plenty,2014,Male,Stomach,9,4.0,Male
Canterbury,2014,Male,Stomach,16,3.8,Male
Capital & Coast,2014,Male,Stomach,12,6.2,Male
Counties Manukau,2014,Male,Stomach,20,6.9,Male
Hawke's Bay,2014,Male,Stomach,6,4.3,Male
Hutt Valley,2014,Male,Stomach,7,7.3,Male
Lakes,2014,Male,Stomach,3,0.0,Male
MidCentral,2014,Male,Stomach,6,4.0,Male
Nelson Marlborough,2014,Male,Stomach,5,0.0,Male
Northland,2014,Male,Stomach,9,5.3,Male
South Canterbury,2014,Male,Stomach,1,0.0,Male
Southern,2014,Male,Stomach,13,4.8,Male
Tairawhiti,2014,Male,Stomach,3,0.0,Male
Taranaki,2014,Male,Stomach,4,0.0,Male
Waikato,2014,Male,Stomach,15,5.2,Male
Wairarapa,2014,Male,Stomach,2,0.0,Male
Waitemata,2014,Male,Stomach,23,5.9,Male
West Coast,2014,Male,Stomach,3,0.0,Male
Whanganui,2014,Male,Stomach,7,11.7,Male
All New Zealand,2015,Male,Liver,193,5.7,Male
Auckland,2015,Male,Liver,20,7.3,Male
Bay of Plenty,2015,Male,Liver,9,4.5,Male
Canterbury,2015,Male,Liver,20,4.6,Male
Capital & Coast,2015,Male,Liver,9,4.8,Male
Counties Manukau,2015,Male,Liver,31,10.0,Male
Hawke's Bay,2015,Male,Liver,5,0.0,Male
Hutt Valley,2015,Male,Liver,5,0.0,Male
Lakes,2015,Male,Liver,6,6.8,Male
MidCentral,2015,Male,Liver,5,0.0,Male
Nelson Marlborough,2015,Male,Liver,9,6.0,Male
Northland,2015,Male,Liver,10,7.1,Male
South Canterbury,2015,Male,Liver,5,0.0,Male
Southern,2015,Male,Liver,13,4.9,Male
Tairawhiti,2015,Male,Liver,3,0.0,Male
Taranaki,2015,Male,Liver,6,7.0,Male
Waikato,2015,Male,Liver,20,6.8,Male
Wairarapa,2015,Male,Liver,1,0.0,Male
Waitemata,2015,Male,Liver,11,2.8,Male
West Coast,2015,Male,Liver,2,0.0,Male
Whanganui,2015,Male,Liver,3,0.0,Male
All New Zealand,2015,Male,Melanoma,255,7.2,Male
Auckland,2015,Male,Melanoma,21,7.5,Male
Bay of Plenty,2015,Male,Melanoma,16,6.9,Male
Canterbury,2015,Male,Melanoma,23,5.5,Male
Capital & Coast,2015,Male,Melanoma,10,4.9,Male
Counties Manukau,2015,Male,Melanoma,17,5.5,Male
Hawke's Bay,2015,Male,Melanoma,12,8.5,Male
Hutt Valley,2015,Male,Melanoma,4,0.0,Male
Lakes,2015,Male,Melanoma,8,9.5,Male
MidCentral,2015,Male,Melanoma,12,7.5,Male
Nelson Marlborough,2015,Male,Melanoma,6,3.7,Male
Northland,2015,Male,Melanoma,12,6.6,Male
South Canterbury,2015,Male,Melanoma,2,0.0,Male
Southern,2015,Male,Melanoma,25,9.7,Male
Tairawhiti,2015,Male,Melanoma,3,0.0,Male
Taranaki,2015,Male,Melanoma,16,15.7,Male
Waikato,2015,Male,Melanoma,25,7.9,Male
Wairarapa,2015,Male,Melanoma,4,0.0,Male
Waitemata,2015,Male,Melanoma,32,8.0,Male
West Coast,2015,Male,Melanoma,3,0.0,Male
Whanganui,2015,Male,Melanoma,4,0.0,Male
All New Zealand,2015,Male,Prostate,646,16.1,Male
Auckland,2015,Male,Prostate,44,14.1,Male
Bay of Plenty,2015,Male,Prostate,38,14.5,Male
Canterbury,2015,Male,Prostate,69,14.5,Male
Capital & Coast,2015,Male,Prostate,34,15.4,Male
Counties Manukau,2015,Male,Prostate,50,15.6,Male
Hawke's Bay,2015,Male,Prostate,31,18.2,Male
Hutt Valley,2015,Male,Prostate,18,15.3,Male
Lakes,2015,Male,Prostate,14,15.3,Male
MidCentral,2015,Male,Prostate,24,13.3,Male
Nelson Marlborough,2015,Male,Prostate,35,20.3,Male
Northland,2015,Male,Prostate,23,12.4,Male
South Canterbury,2015,Male,Prostate,10,12.8,Male
Southern,2015,Male,Prostate,55,18.2,Male
Tairawhiti,2015,Male,Prostate,7,17.3,Male
Taranaki,2015,Male,Prostate,33,27.5,Male
Waikato,2015,Male,Prostate,60,17.0,Male
Wairarapa,2015,Male,Prostate,5,0.0,Male
Waitemata,2015,Male,Prostate,76,17.2,Male
West Coast,2015,Male,Prostate,12,34.4,Male
Whanganui,2015,Male,Prostate,8,11.7,Male
All New Zealand,2015,Male,Stomach,151,4.3,Male
Auckland,2015,Male,Stomach,7,2.5,Male
Bay of Plenty,2015,Male,Stomach,7,4.2,Male
Canterbury,2015,Male,Stomach,20,4.4,Male
Capital & Coast,2015,Male,Stomach,5,0.0,Male
Counties Manukau,2015,Male,Stomach,20,6.8,Male
Hawke's Bay,2015,Male,Stomach,8,6.7,Male
Hutt Valley,2015,Male,Stomach,2,0.0,Male
Lakes,2015,Male,Stomach,5,0.0,Male
MidCentral,2015,Male,Stomach,6,4.1,Male
Nelson Marlborough,2015,Male,Stomach,7,5.3,Male
Northland,2015,Male,Stomach,10,6.4,Male
South Canterbury,2015,Male,Stomach,2,0.0,Male
Southern,2015,Male,Stomach,12,4.2,Male
Tairawhiti,2015,Male,Stomach,3,0.0,Male
Taranaki,2015,Male,Stomach,5,0.0,Male
Waikato,2015,Male,Stomach,13,4.2,Male
Waitemata,2015,Male,Stomach,15,3.8,Male
West Coast,2015,Male,Stomach,2,0.0,Male
Whanganui,2015,Male,Stomach,2,0.0,Male
All New Zealand,2016,Male,Liver,185,5.2,Male
Auckland,2016,Male,Liver,24,8.1,Male
Bay of Plenty,2016,Male,Liver,4,0.0,Male
Canterbury,2016,Male,Liver,16,3.7,Male
Capital & Coast,2016,Male,Liver,12,5.8,Male
Counties Manukau,2016,Male,Liver,22,6.9,Male
Hawke's Bay,2016,Male,Liver,9,7.7,Male
Hutt Valley,2016,Male,Liver,6,5.0,Male
Lakes,2016,Male,Liver,6,7.4,Male
MidCentral,2016,Male,Liver,7,5.7,Male
Nelson Marlborough,2016,Male,Liver,4,0.0,Male
Northland,2016,Male,Liver,10,6.5,Male
South Canterbury,2016,Male,Liver,3,0.0,Male
Southern,2016,Male,Liver,10,3.5,Male
Tairawhiti,2016,Male,Liver,4,0.0,Male
Taranaki,2016,Male,Liver,6,6.1,Male
Waikato,2016,Male,Liver,16,5.0,Male
Wairarapa,2016,Male,Liver,3,0.0,Male
Waitemata,2016,Male,Liver,20,5.0,Male
West Coast,2016,Male,Liver,3,0.0,Male
All New Zealand,2016,Male,Melanoma,242,6.4,Male
Auckland,2016,Male,Melanoma,22,6.7,Male
Bay of Plenty,2016,Male,Melanoma,22,10.9,Male
Canterbury,2016,Male,Melanoma,20,5.1,Male
Capital & Coast,2016,Male,Melanoma,13,6.2,Male
Counties Manukau,2016,Male,Melanoma,15,4.8,Male
Hawke's Bay,2016,Male,Melanoma,12,7.9,Male
Hutt Valley,2016,Male,Melanoma,8,7.1,Male
Lakes,2016,Male,Melanoma,5,0.0,Male
MidCentral,2016,Male,Melanoma,10,6.3,Male
Nelson Marlborough,2016,Male,Melanoma,10,6.7,Male
Northland,2016,Male,Melanoma,15,8.3,Male
South Canterbury,2016,Male,Melanoma,6,7.3,Male
Southern,2016,Male,Melanoma,15,4.8,Male
Tairawhiti,2016,Male,Melanoma,2,0.0,Male
Taranaki,2016,Male,Melanoma,1,0.0,Male
Waikato,2016,Male,Melanoma,23,6.8,Male
Wairarapa,2016,Male,Melanoma,2,0.0,Male
Waitemata,2016,Male,Melanoma,32,7.3,Male
West Coast,2016,Male,Melanoma,4,0.0,Male
Whanganui,2016,Male,Melanoma,5,0.0,Male
All New Zealand,2016,Male,Prostate,590,14.4,Male
Auckland,2016,Male,Prostate,35,11.3,Male
Bay of Plenty,2016,Male,Prostate,41,15.0,Male
Canterbury,2016,Male,Prostate,63,12.9,Male
Capital & Coast,2016,Male,Prostate,36,15.3,Male
Counties Manukau,2016,Male,Prostate,40,12.3,Male
Hawke's Bay,2016,Male,Prostate,20,11.8,Male
Hutt Valley,2016,Male,Prostate,22,17.3,Male
Lakes,2016,Male,Prostate,14,15.1,Male
MidCentral,2016,Male,Prostate,36,21.0,Male
Nelson Marlborough,2016,Male,Prostate,38,21.0,Male
Northland,2016,Male,Prostate,33,16.8,Male
South Canterbury,2016,Male,Prostate,8,10.6,Male
Southern,2016,Male,Prostate,57,18.1,Male
Tairawhiti,2016,Male,Prostate,5,0.0,Male
Taranaki,2016,Male,Prostate,14,10.9,Male
Waikato,2016,Male,Prostate,49,13.3,Male
Wairarapa,2016,Male,Prostate,10,21.1,Male
Waitemata,2016,Male,Prostate,56,12.3,Male
West Coast,2016,Male,Prostate,2,0.0,Male
Whanganui,2016,Male,Prostate,11,15.7,Male
All New Zealand,2016,Male,Stomach,179,5.0,Male
Auckland,2016,Male,Stomach,10,3.5,Male
Bay of Plenty,2016,Male,Stomach,8,3.3,Male
Canterbury,2016,Male,Stomach,20,4.5,Male
Capital & Coast,2016,Male,Stomach,9,4.4,Male
Counties Manukau,2016,Male,Stomach,25,7.7,Male
Hawke's Bay,2016,Male,Stomach,7,5.1,Male
Hutt Valley,2016,Male,Stomach,5,0.0,Male
Lakes,2016,Male,Stomach,10,11.6,Male
MidCentral,2016,Male,Stomach,7,4.8,Male
Nelson Marlborough,2016,Male,Stomach,3,0.0,Male
Northland,2016,Male,Stomach,7,4.1,Male
South Canterbury,2016,Male,Stomach,1,0.0,Male
Southern,2016,Male,Stomach,9,3.3,Male
Tairawhiti,2016,Male,Stomach,5,0.0,Male
Taranaki,2016,Male,Stomach,10,10.8,Male
Waikato,2016,Male,Stomach,15,5.6,Male
Wairarapa,2016,Male,Stomach,3,0.0,Male
Waitemata,2016,Male,Stomach,22,5.4,Male
West Coast,2016,Male,Stomach,1,0.0,Male
Whanganui,2016,Male,Stomach,2,0.0,Male
All New Zealand,2017,Male,Liver,181,5.1,Male
Auckland,2017,Male,Liver,19,6.3,Male
Bay of Plenty,2017,Male,Liver,9,5.4,Male
Canterbury,2017,Male,Liver,20,4.5,Male
Capital & Coast,2017,Male,Liver,12,5.9,Male
Counties Manukau,2017,Male,Liver,20,6.0,Male
Hawke's Bay,2017,Male,Liver,10,7.8,Male
Hutt Valley,2017,Male,Liver,4,0.0,Male
Lakes,2017,Male,Liver,4,0.0,Male
MidCentral,2017,Male,Liver,7,4.6,Male
Nelson Marlborough,2017,Male,Liver,5,0.0,Male
Northland,2017,Male,Liver,15,11.1,Male
South Canterbury,2017,Male,Liver,3,0.0,Male
Southern,2017,Male,Liver,8,2.8,Male
Tairawhiti,2017,Male,Liver,1,0.0,Male
Taranaki,2017,Male,Liver,6,5.4,Male
Waikato,2017,Male,Liver,15,4.8,Male
Wairarapa,2017,Male,Liver,2,0.0,Male
Waitemata,2017,Male,Liver,20,5.0,Male
West Coast,2017,Male,Liver,1,0.0,Male
All New Zealand,2017,Male,Melanoma,201,5.2,Male
Auckland,2017,Male,Melanoma,14,4.7,Male
Bay of Plenty,2017,Male,Melanoma,16,6.1,Male
Canterbury,2017,Male,Melanoma,21,4.1,Male
Capital & Coast,2017,Male,Melanoma,11,5.3,Male
Counties Manukau,2017,Male,Melanoma,10,2.9,Male
Hawke's Bay,2017,Male,Melanoma,15,10.3,Male
