DHB,year,sex,cancer,mortality_num,mortality_rate
Hutt Valley,2011,Male,Leukaemia,6,6.4
Lakes,2011,Male,Leukaemia,3,0.0
MidCentral,2011,Male,Leukaemia,7,5.1
Nelson Marlborough,2011,Male,Leukaemia,8,5.8
Northland,2011,Male,Leukaemia,10,6.8
South Canterbury,2011,Male,Leukaemia,2,0.0
Southern,2011,Male,Leukaemia,18,7.3
Taranaki,2011,Male,Leukaemia,11,12.8
Waikato,2011,Male,Leukaemia,22,8.1
Wairarapa,2011,Male,Leukaemia,2,0.0
Waitemata,2011,Male,Leukaemia,19,5.4
Whanganui,2011,Male,Leukaemia,2,0.0
All New Zealand,2011,Male,Liver,164,5.3
Auckland,2011,Male,Liver,20,8.0
Bay of Plenty,2011,Male,Liver,12,6.9
Canterbury,2011,Male,Liver,16,4.1
Capital & Coast,2011,Male,Liver,13,7.3
Counties Manukau,2011,Male,Liver,15,5.6
Hawke's Bay,2011,Male,Liver,6,4.7
Hutt Valley,2011,Male,Liver,5,0.0
Lakes,2011,Male,Liver,6,8.8
MidCentral,2011,Male,Liver,4,0.0
Nelson Marlborough,2011,Male,Liver,9,6.9
Northland,2011,Male,Liver,9,6.8
South Canterbury,2011,Male,Liver,3,0.0
Southern,2011,Male,Liver,11,4.7
Taranaki,2011,Male,Liver,4,0.0
Waikato,2011,Male,Liver,16,5.9
Wairarapa,2011,Male,Liver,2,0.0
Waitemata,2011,Male,Liver,10,2.8
West Coast,2011,Male,Liver,2,0.0
Whanganui,2011,Male,Liver,1,0.0
All New Zealand,2011,Male,Lung,907,28.2
Auckland,2011,Male,Lung,63,24.0
Bay of Plenty,2011,Male,Lung,55,29.3
Canterbury,2011,Male,Lung,115,29.3
Capital & Coast,2011,Male,Lung,43,23.4
Counties Manukau,2011,Male,Lung,97,35.6
Hawke's Bay,2011,Male,Lung,50,38.0
Hutt Valley,2011,Male,Lung,11,11.5
Lakes,2011,Male,Lung,26,34.5
MidCentral,2011,Male,Lung,43,31.5
Nelson Marlborough,2011,Male,Lung,33,25.8
Northland,2011,Male,Lung,46,32.1
South Canterbury,2011,Male,Lung,18,30.7
Southern,2011,Male,Lung,62,25.1
Tairawhiti,2011,Male,Lung,13,40.5
Taranaki,2011,Male,Lung,29,30.0
Waikato,2011,Male,Lung,81,29.3
Wairarapa,2011,Male,Lung,8,19.2
Waitemata,2011,Male,Lung,92,25.4
West Coast,2011,Male,Lung,7,22.8
Whanganui,2011,Male,Lung,15,25.0
All New Zealand,2011,Male,Melanoma,241,7.8
Auckland,2011,Male,Melanoma,14,5.5
Bay of Plenty,2011,Male,Melanoma,19,11.0
Canterbury,2011,Male,Melanoma,31,7.9
Capital & Coast,2011,Male,Melanoma,10,5.7
Counties Manukau,2011,Male,Melanoma,18,6.7
Hawke's Bay,2011,Male,Melanoma,7,5.3
Hutt Valley,2011,Male,Melanoma,8,7.7
Lakes,2011,Male,Melanoma,6,8.3
MidCentral,2011,Male,Melanoma,12,11.2
Nelson Marlborough,2011,Male,Melanoma,6,5.3
Northland,2011,Male,Melanoma,17,12.3
South Canterbury,2011,Male,Melanoma,4,0.0
Southern,2011,Male,Melanoma,15,6.9
Tairawhiti,2011,Male,Melanoma,4,0.0
Taranaki,2011,Male,Melanoma,8,9.7
Waikato,2011,Male,Melanoma,26,10.3
Wairarapa,2011,Male,Melanoma,2,0.0
Waitemata,2011,Male,Melanoma,31,8.8
West Coast,2011,Male,Melanoma,1,0.0
Whanganui,2011,Male,Melanoma,2,0.0
All New Zealand,2011,Male,Non-Hodgkin lymphoma,155,4.8
Auckland,2011,Male,Non-Hodgkin lymphoma,7,2.5
Bay of Plenty,2011,Male,Non-Hodgkin lymphoma,12,5.7
Canterbury,2011,Male,Non-Hodgkin lymphoma,13,3.7
Capital & Coast,2011,Male,Non-Hodgkin lymphoma,7,3.5
Counties Manukau,2011,Male,Non-Hodgkin lymphoma,12,4.7
Hawke's Bay,2011,Male,Non-Hodgkin lymphoma,7,5.4
Hutt Valley,2011,Male,Non-Hodgkin lymphoma,7,7.1
Lakes,2011,Male,Non-Hodgkin lymphoma,1,0.0
MidCentral,2011,Male,Non-Hodgkin lymphoma,4,0.0
Nelson Marlborough,2011,Male,Non-Hodgkin lymphoma,6,5.0
Northland,2011,Male,Non-Hodgkin lymphoma,15,10.4
South Canterbury,2011,Male,Non-Hodgkin lymphoma,4,0.0
Southern,2011,Male,Non-Hodgkin lymphoma,11,4.2
Tairawhiti,2011,Male,Non-Hodgkin lymphoma,4,0.0
Taranaki,2011,Male,Non-Hodgkin lymphoma,6,5.3
Waikato,2011,Male,Non-Hodgkin lymphoma,16,6.2
Wairarapa,2011,Male,Non-Hodgkin lymphoma,1,0.0
Waitemata,2011,Male,Non-Hodgkin lymphoma,17,4.7
Whanganui,2011,Male,Non-Hodgkin lymphoma,5,0.0
All New Zealand,2011,Male,Pancreas,219,6.9
Auckland,2011,Male,Pancreas,23,8.9
Bay of Plenty,2011,Male,Pancreas,11,5.3
Canterbury,2011,Male,Pancreas,31,8.3
Capital & Coast,2011,Male,Pancreas,17,9.6
Counties Manukau,2011,Male,Pancreas,15,5.6
Hawke's Bay,2011,Male,Pancreas,5,0.0
Hutt Valley,2011,Male,Pancreas,9,8.9
Lakes,2011,Male,Pancreas,6,8.6
MidCentral,2011,Male,Pancreas,13,9.3
Nelson Marlborough,2011,Male,Pancreas,6,4.8
Northland,2011,Male,Pancreas,9,6.2
South Canterbury,2011,Male,Pancreas,3,0.0
Southern,2011,Male,Pancreas,20,8.3
Taranaki,2011,Male,Pancreas,6,6.3
Waikato,2011,Male,Pancreas,21,7.8
Waitemata,2011,Male,Pancreas,20,5.6
West Coast,2011,Male,Pancreas,1,0.0
Whanganui,2011,Male,Pancreas,3,0.0
All New Zealand,2011,Male,Prostate,584,16.8
Auckland,2011,Male,Prostate,34,12.9
Bay of Plenty,2011,Male,Prostate,51,22.9
Canterbury,2011,Male,Prostate,87,20.4
Capital & Coast,2011,Male,Prostate,47,23.5
Counties Manukau,2011,Male,Prostate,29,10.8
Hawke's Bay,2011,Male,Prostate,24,16.4
Hutt Valley,2011,Male,Prostate,18,17.2
Lakes,2011,Male,Prostate,19,24.0
MidCentral,2011,Male,Prostate,24,15.2
Nelson Marlborough,2011,Male,Prostate,19,13.1
Northland,2011,Male,Prostate,35,22.4
South Canterbury,2011,Male,Prostate,13,20.0
Southern,2011,Male,Prostate,44,16.2
Tairawhiti,2011,Male,Prostate,2,0.0
Taranaki,2011,Male,Prostate,20,18.9
Waikato,2011,Male,Prostate,52,17.4
Wairarapa,2011,Male,Prostate,12,27.1
Waitemata,2011,Male,Prostate,34,8.7
West Coast,2011,Male,Prostate,4,0.0
Whanganui,2011,Male,Prostate,16,27.6
All New Zealand,2011,Male,Stomach,191,6.0
Auckland,2011,Male,Stomach,12,4.7
Bay of Plenty,2011,Male,Stomach,20,11.0
Canterbury,2011,Male,Stomach,26,6.8
Capital & Coast,2011,Male,Stomach,7,3.7
Counties Manukau,2011,Male,Stomach,19,7.2
Hawke's Bay,2011,Male,Stomach,4,0.0
Hutt Valley,2011,Male,Stomach,12,12.2
Lakes,2011,Male,Stomach,3,0.0
MidCentral,2011,Male,Stomach,6,4.7
Nelson Marlborough,2011,Male,Stomach,2,0.0
Northland,2011,Male,Stomach,11,8.1
South Canterbury,2011,Male,Stomach,1,0.0
Southern,2011,Male,Stomach,7,2.8
Tairawhiti,2011,Male,Stomach,4,0.0
Taranaki,2011,Male,Stomach,6,6.6
Waikato,2011,Male,Stomach,19,6.6
Wairarapa,2011,Male,Stomach,4,0.0
Waitemata,2011,Male,Stomach,25,7.1
West Coast,2011,Male,Stomach,2,0.0
Whanganui,2011,Male,Stomach,1,0.0
All New Zealand,2012,Male,Brain,182,6.4
Auckland,2012,Male,Brain,15,6.0
Bay of Plenty,2012,Male,Brain,9,6.4
Canterbury,2012,Male,Brain,25,7.1
Capital & Coast,2012,Male,Brain,10,6.3
Counties Manukau,2012,Male,Brain,18,6.5
Hawke's Bay,2012,Male,Brain,10,9.2
Hutt Valley,2012,Male,Brain,3,0.0
Lakes,2012,Male,Brain,5,0.0
MidCentral,2012,Male,Brain,11,8.8
Nelson Marlborough,2012,Male,Brain,4,0.0
Northland,2012,Male,Brain,7,5.5
South Canterbury,2012,Male,Brain,4,0.0
Southern,2012,Male,Brain,18,9.6
Tairawhiti,2012,Male,Brain,2,0.0
Taranaki,2012,Male,Brain,6,7.9
Waikato,2012,Male,Brain,10,4.3
Wairarapa,2012,Male,Brain,1,0.0
Waitemata,2012,Male,Brain,18,5.2
West Coast,2012,Male,Brain,3,0.0
Whanganui,2012,Male,Brain,3,0.0
All New Zealand,2012,Male,Colorectal,650,19.7
Auckland,2012,Male,Colorectal,41,14.5
Bay of Plenty,2012,Male,Colorectal,41,20.9
Canterbury,2012,Male,Colorectal,79,20.1
Capital & Coast,2012,Male,Colorectal,36,19.6
Counties Manukau,2012,Male,Colorectal,40,14.4
Hawke's Bay,2012,Male,Colorectal,27,20.3
Hutt Valley,2012,Male,Colorectal,17,16.6
Lakes,2012,Male,Colorectal,12,15.4
MidCentral,2012,Male,Colorectal,25,18.4
Nelson Marlborough,2012,Male,Colorectal,28,21.7
Northland,2012,Male,Colorectal,37,26.1
South Canterbury,2012,Male,Colorectal,19,31.2
Southern,2012,Male,Colorectal,53,20.7
Tairawhiti,2012,Male,Colorectal,4,0.0
Taranaki,2012,Male,Colorectal,29,30.0
Waikato,2012,Male,Colorectal,64,22.5
Wairarapa,2012,Male,Colorectal,13,30.9
Waitemata,2012,Male,Colorectal,68,18.1
West Coast,2012,Male,Colorectal,4,0.0
Whanganui,2012,Male,Colorectal,13,19.5
All New Zealand,2012,Male,Leukaemia,198,6.1
Auckland,2012,Male,Leukaemia,11,4.3
Bay of Plenty,2012,Male,Leukaemia,8,4.8
Canterbury,2012,Male,Leukaemia,20,5.1
Capital & Coast,2012,Male,Leukaemia,14,7.5
Counties Manukau,2012,Male,Leukaemia,21,7.8
Hawke's Bay,2012,Male,Leukaemia,4,0.0
Hutt Valley,2012,Male,Leukaemia,7,6.5
Lakes,2012,Male,Leukaemia,5,0.0
MidCentral,2012,Male,Leukaemia,5,0.0
Nelson Marlborough,2012,Male,Leukaemia,10,7.0
Northland,2012,Male,Leukaemia,11,6.7
South Canterbury,2012,Male,Leukaemia,5,0.0
Southern,2012,Male,Leukaemia,17,6.5
Tairawhiti,2012,Male,Leukaemia,3,0.0
Taranaki,2012,Male,Leukaemia,9,11.0
Waikato,2012,Male,Leukaemia,22,7.4
Wairarapa,2012,Male,Leukaemia,2,0.0
Waitemata,2012,Male,Leukaemia,20,5.3
Whanganui,2012,Male,Leukaemia,4,0.0
All New Zealand,2012,Male,Liver,151,4.8
Auckland,2012,Male,Liver,15,5.7
Bay of Plenty,2012,Male,Liver,4,0.0
Canterbury,2012,Male,Liver,16,4.4
Capital & Coast,2012,Male,Liver,9,4.5
Counties Manukau,2012,Male,Liver,30,10.6
Hawke's Bay,2012,Male,Liver,4,0.0
Hutt Valley,2012,Male,Liver,5,0.0
Lakes,2012,Male,Liver,7,9.2
MidCentral,2012,Male,Liver,2,0.0
Nelson Marlborough,2012,Male,Liver,3,0.0
Northland,2012,Male,Liver,4,0.0
South Canterbury,2012,Male,Liver,2,0.0
Southern,2012,Male,Liver,7,3.0
Tairawhiti,2012,Male,Liver,1,0.0
Taranaki,2012,Male,Liver,6,7.3
Waikato,2012,Male,Liver,19,7.2
Wairarapa,2012,Male,Liver,3,0.0
Waitemata,2012,Male,Liver,11,3.0
West Coast,2012,Male,Liver,3,0.0
All New Zealand,2012,Male,Lung,889,27.1
Auckland,2012,Male,Lung,64,24.5
Bay of Plenty,2012,Male,Lung,49,25.0
Canterbury,2012,Male,Lung,87,22.6
Capital & Coast,2012,Male,Lung,38,19.9
Counties Manukau,2012,Male,Lung,76,27.1
Hawke's Bay,2012,Male,Lung,44,33.9
Hutt Valley,2012,Male,Lung,36,35.1
Lakes,2012,Male,Lung,20,24.7
MidCentral,2012,Male,Lung,49,33.2
Nelson Marlborough,2012,Male,Lung,26,19.8
Northland,2012,Male,Lung,40,26.2
South Canterbury,2012,Male,Lung,26,41.2
Southern,2012,Male,Lung,70,27.9
Tairawhiti,2012,Male,Lung,15,45.1
Taranaki,2012,Male,Lung,27,26.8
Waikato,2012,Male,Lung,98,34.2
Wairarapa,2012,Male,Lung,9,21.9
Waitemata,2012,Male,Lung,89,23.8
West Coast,2012,Male,Lung,6,19.8
Whanganui,2012,Male,Lung,20,37.2
All New Zealand,2012,Male,Melanoma,221,6.8
Auckland,2012,Male,Melanoma,16,6.1
Bay of Plenty,2012,Male,Melanoma,21,11.7
Canterbury,2012,Male,Melanoma,26,6.6
Capital & Coast,2012,Male,Melanoma,10,5.2
Counties Manukau,2012,Male,Melanoma,19,6.7
Hawke's Bay,2012,Male,Melanoma,8,5.9
Hutt Valley,2012,Male,Melanoma,12,11.8
Lakes,2012,Male,Melanoma,4,0.0
MidCentral,2012,Male,Melanoma,10,6.6
Nelson Marlborough,2012,Male,Melanoma,7,8.2
Northland,2012,Male,Melanoma,13,8.7
South Canterbury,2012,Male,Melanoma,5,0.0
Southern,2012,Male,Melanoma,13,5.3
Taranaki,2012,Male,Melanoma,11,11.1
Waikato,2012,Male,Melanoma,16,5.2
Wairarapa,2012,Male,Melanoma,2,0.0
Waitemata,2012,Male,Melanoma,25,6.5
Whanganui,2012,Male,Melanoma,3,0.0
All New Zealand,2012,Male,Non-Hodgkin lymphoma,150,4.8
Auckland,2012,Male,Non-Hodgkin lymphoma,15,5.6
Bay of Plenty,2012,Male,Non-Hodgkin lymphoma,6,3.5
Canterbury,2012,Male,Non-Hodgkin lymphoma,12,3.1
Capital & Coast,2012,Male,Non-Hodgkin lymphoma,9,5.2
Counties Manukau,2012,Male,Non-Hodgkin lymphoma,20,7.5
Hawke's Bay,2012,Male,Non-Hodgkin lymphoma,7,4.8
Hutt Valley,2012,Male,Non-Hodgkin lymphoma,4,0.0
Lakes,2012,Male,Non-Hodgkin lymphoma,2,0.0
MidCentral,2012,Male,Non-Hodgkin lymphoma,4,0.0
Nelson Marlborough,2012,Male,Non-Hodgkin lymphoma,10,7.3
Northland,2012,Male,Non-Hodgkin lymphoma,4,0.0
South Canterbury,2012,Male,Non-Hodgkin lymphoma,5,0.0
Southern,2012,Male,Non-Hodgkin lymphoma,13,5.1
Taranaki,2012,Male,Non-Hodgkin lymphoma,9,9.1
Waikato,2012,Male,Non-Hodgkin lymphoma,10,3.4
Wairarapa,2012,Male,Non-Hodgkin lymphoma,2,0.0
Waitemata,2012,Male,Non-Hodgkin lymphoma,16,4.4
Whanganui,2012,Male,Non-Hodgkin lymphoma,2,0.0
All New Zealand,2012,Male,Pancreas,229,6.8
Auckland,2012,Male,Pancreas,13,4.9
Bay of Plenty,2012,Male,Pancreas,11,5.0
Canterbury,2012,Male,Pancreas,29,6.8
Capital & Coast,2012,Male,Pancreas,13,7.0
Counties Manukau,2012,Male,Pancreas,20,7.2
Hawke's Bay,2012,Male,Pancreas,8,5.4
Hutt Valley,2012,Male,Pancreas,8,7.8
Lakes,2012,Male,Pancreas,3,0.0
MidCentral,2012,Male,Pancreas,9,6.4
Nelson Marlborough,2012,Male,Pancreas,11,7.8
Northland,2012,Male,Pancreas,11,7.1
South Canterbury,2012,Male,Pancreas,2,0.0
Southern,2012,Male,Pancreas,24,8.9
Tairawhiti,2012,Male,Pancreas,1,0.0
Taranaki,2012,Male,Pancreas,5,0.0
Waikato,2012,Male,Pancreas,20,6.6
Wairarapa,2012,Male,Pancreas,5,0.0
Waitemata,2012,Male,Pancreas,27,7.2
West Coast,2012,Male,Pancreas,4,0.0
Whanganui,2012,Male,Pancreas,5,0.0
All New Zealand,2012,Male,Prostate,607,16.9
Auckland,2012,Male,Prostate,39,14.0
Bay of Plenty,2012,Male,Prostate,44,19.0
Canterbury,2012,Male,Prostate,61,14.4
Capital & Coast,2012,Male,Prostate,34,16.7
Counties Manukau,2012,Male,Prostate,44,15.7
Hawke's Bay,2012,Male,Prostate,26,17.6
Hutt Valley,2012,Male,Prostate,30,27.9
Lakes,2012,Male,Prostate,19,22.6
MidCentral,2012,Male,Prostate,23,14.5
Nelson Marlborough,2012,Male,Prostate,26,16.5
Northland,2012,Male,Prostate,30,18.5
South Canterbury,2012,Male,Prostate,12,18.3
Southern,2012,Male,Prostate,63,23.0
Tairawhiti,2012,Male,Prostate,6,16.5
Taranaki,2012,Male,Prostate,13,11.8
Waikato,2012,Male,Prostate,50,16.2
Wairarapa,2012,Male,Prostate,10,22.0
Waitemata,2012,Male,Prostate,56,13.9
West Coast,2012,Male,Prostate,10,31.0
Whanganui,2012,Male,Prostate,11,17.4
All New Zealand,2012,Male,Stomach,178,5.5
Auckland,2012,Male,Stomach,11,4.1
Bay of Plenty,2012,Male,Stomach,10,5.1
Canterbury,2012,Male,Stomach,29,7.4
Capital & Coast,2012,Male,Stomach,5,0.0
Counties Manukau,2012,Male,Stomach,20,7.2
Hawke's Bay,2012,Male,Stomach,8,6.9
Hutt Valley,2012,Male,Stomach,4,0.0
Lakes,2012,Male,Stomach,7,8.2
MidCentral,2012,Male,Stomach,8,5.2
Nelson Marlborough,2012,Male,Stomach,5,0.0
Northland,2012,Male,Stomach,14,9.8
South Canterbury,2012,Male,Stomach,3,0.0
Southern,2012,Male,Stomach,13,5.3
Tairawhiti,2012,Male,Stomach,1,0.0
Taranaki,2012,Male,Stomach,4,0.0
Waikato,2012,Male,Stomach,14,5.1
Wairarapa,2012,Male,Stomach,5,0.0
Waitemata,2012,Male,Stomach,15,4.4
Whanganui,2012,Male,Stomach,2,0.0
All New Zealand,2013,Male,Brain,146,5.1
Auckland,2013,Male,Brain,12,4.8
Bay of Plenty,2013,Male,Brain,6,3.6
Canterbury,2013,Male,Brain,23,6.7
Capital & Coast,2013,Male,Brain,9,5.4
Counties Manukau,2013,Male,Brain,10,3.6
Hawke's Bay,2013,Male,Brain,5,0.0
Hutt Valley,2013,Male,Brain,7,8.0
Lakes,2013,Male,Brain,4,0.0
MidCentral,2013,Male,Brain,3,0.0
Nelson Marlborough,2013,Male,Brain,4,0.0
Northland,2013,Male,Brain,6,3.9
South Canterbury,2013,Male,Brain,2,0.0
Southern,2013,Male,Brain,7,2.7
Tairawhiti,2013,Male,Brain,1,0.0
Taranaki,2013,Male,Brain,6,7.8
Waikato,2013,Male,Brain,14,5.6
Wairarapa,2013,Male,Brain,2,0.0
Waitemata,2013,Male,Brain,21,6.1
West Coast,2013,Male,Brain,3,0.0
Whanganui,2013,Male,Brain,1,0.0
All New Zealand,2013,Male,Colorectal,643,18.7
Auckland,2013,Male,Colorectal,51,18.3
Bay of Plenty,2013,Male,Colorectal,38,17.4
Canterbury,2013,Male,Colorectal,88,21.2
Capital & Coast,2013,Male,Colorectal,35,18.5
Counties Manukau,2013,Male,Colorectal,34,12.1
Hawke's Bay,2013,Male,Colorectal,30,22.1
Hutt Valley,2013,Male,Colorectal,15,15.2
Lakes,2013,Male,Colorectal,15,17.9
MidCentral,2013,Male,Colorectal,25,16.2
Nelson Marlborough,2013,Male,Colorectal,24,17.2
Northland,2013,Male,Colorectal,27,16.3
South Canterbury,2013,Male,Colorectal,15,24.7
Southern,2013,Male,Colorectal,65,23.7
Tairawhiti,2013,Male,Colorectal,9,26.3
Taranaki,2013,Male,Colorectal,27,28.0
Waikato,2013,Male,Colorectal,69,23.0
Wairarapa,2013,Male,Colorectal,5,0.0
Waitemata,2013,Male,Colorectal,53,13.6
West Coast,2013,Male,Colorectal,5,0.0
Whanganui,2013,Male,Colorectal,13,22.6
All New Zealand,2013,Male,Leukaemia,190,5.7
Auckland,2013,Male,Leukaemia,17,6.1
Bay of Plenty,2013,Male,Leukaemia,19,10.5
Canterbury,2013,Male,Leukaemia,26,7.0
Capital & Coast,2013,Male,Leukaemia,14,7.8
Counties Manukau,2013,Male,Leukaemia,13,4.5
Hawke's Bay,2013,Male,Leukaemia,5,0.0
Hutt Valley,2013,Male,Leukaemia,4,0.0
Lakes,2013,Male,Leukaemia,6,7.7
MidCentral,2013,Male,Leukaemia,4,0.0
Nelson Marlborough,2013,Male,Leukaemia,6,6.6
Northland,2013,Male,Leukaemia,10,6.4
South Canterbury,2013,Male,Leukaemia,4,0.0
Southern,2013,Male,Leukaemia,15,5.9
Tairawhiti,2013,Male,Leukaemia,2,0.0
Taranaki,2013,Male,Leukaemia,3,0.0
Waikato,2013,Male,Leukaemia,17,5.9
Wairarapa,2013,Male,Leukaemia,2,0.0
Waitemata,2013,Male,Leukaemia,15,4.1
West Coast,2013,Male,Leukaemia,3,0.0
Whanganui,2013,Male,Leukaemia,5,0.0
All New Zealand,2013,Male,Liver,174,5.4
Auckland,2013,Male,Liver,20,7.5
Bay of Plenty,2013,Male,Liver,12,6.9
Canterbury,2013,Male,Liver,10,2.6
Capital & Coast,2013,Male,Liver,14,7.4
Counties Manukau,2013,Male,Liver,20,6.8
Hawke's Bay,2013,Male,Liver,5,0.0
Hutt Valley,2013,Male,Liver,3,0.0
Lakes,2013,Male,Liver,11,14.0
MidCentral,2013,Male,Liver,8,5.4
Nelson Marlborough,2013,Male,Liver,7,5.1
Northland,2013,Male,Liver,11,7.4
South Canterbury,2013,Male,Liver,3,0.0
Southern,2013,Male,Liver,8,3.0
Taranaki,2013,Male,Liver,4,0.0
Waikato,2013,Male,Liver,18,6.4
Wairarapa,2013,Male,Liver,4,0.0
Waitemata,2013,Male,Liver,14,3.8
West Coast,2013,Male,Liver,1,0.0
Whanganui,2013,Male,Liver,1,0.0
All New Zealand,2013,Male,Lung,860,25.2
Auckland,2013,Male,Lung,51,19.1
Bay of Plenty,2013,Male,Lung,54,27.1
Canterbury,2013,Male,Lung,97,23.8
Capital & Coast,2013,Male,Lung,56,29.7
Counties Manukau,2013,Male,Lung,78,26.7
Hawke's Bay,2013,Male,Lung,35,25.7
Hutt Valley,2013,Male,Lung,24,23.2
Lakes,2013,Male,Lung,17,20.8
MidCentral,2013,Male,Lung,42,28.3
Nelson Marlborough,2013,Male,Lung,37,24.8
Northland,2013,Male,Lung,48,32.2
South Canterbury,2013,Male,Lung,12,18.6
Southern,2013,Male,Lung,70,27.3
Tairawhiti,2013,Male,Lung,8,21.6
Taranaki,2013,Male,Lung,21,21.8
Waikato,2013,Male,Lung,89,29.2
Wairarapa,2013,Male,Lung,14,30.5
Waitemata,2013,Male,Lung,78,19.9
West Coast,2013,Male,Lung,10,31.9
Whanganui,2013,Male,Lung,19,30.1
All New Zealand,2013,Male,Melanoma,232,6.9
Auckland,2013,Male,Melanoma,11,4.1
Bay of Plenty,2013,Male,Melanoma,14,7.0
Canterbury,2013,Male,Melanoma,35,8.5
Capital & Coast,2013,Male,Melanoma,8,4.2
Counties Manukau,2013,Male,Melanoma,16,5.5
Hawke's Bay,2013,Male,Melanoma,12,9.0
Hutt Valley,2013,Male,Melanoma,5,0.0
Lakes,2013,Male,Melanoma,7,8.9
MidCentral,2013,Male,Melanoma,11,8.8
Nelson Marlborough,2013,Male,Melanoma,10,8.2
Northland,2013,Male,Melanoma,18,11.4
South Canterbury,2013,Male,Melanoma,4,0.0
Southern,2013,Male,Melanoma,9,3.4
Tairawhiti,2013,Male,Melanoma,3,0.0
Taranaki,2013,Male,Melanoma,1,0.0
Waikato,2013,Male,Melanoma,28,9.6
Wairarapa,2013,Male,Melanoma,4,0.0
Waitemata,2013,Male,Melanoma,27,7.1
West Coast,2013,Male,Melanoma,4,0.0
Whanganui,2013,Male,Melanoma,5,0.0
All New Zealand,2013,Male,Non-Hodgkin lymphoma,197,5.8
Auckland,2013,Male,Non-Hodgkin lymphoma,13,4.6
Bay of Plenty,2013,Male,Non-Hodgkin lymphoma,17,8.9
Canterbury,2013,Male,Non-Hodgkin lymphoma,25,6.1
Capital & Coast,2013,Male,Non-Hodgkin lymphoma,7,3.4
Counties Manukau,2013,Male,Non-Hodgkin lymphoma,21,7.2
Hawke's Bay,2013,Male,Non-Hodgkin lymphoma,7,5.1
Hutt Valley,2013,Male,Non-Hodgkin lymphoma,3,0.0
Lakes,2013,Male,Non-Hodgkin lymphoma,3,0.0
MidCentral,2013,Male,Non-Hodgkin lymphoma,7,4.5
Nelson Marlborough,2013,Male,Non-Hodgkin lymphoma,6,4.3
Northland,2013,Male,Non-Hodgkin lymphoma,8,5.2
South Canterbury,2013,Male,Non-Hodgkin lymphoma,3,0.0
Southern,2013,Male,Non-Hodgkin lymphoma,17,6.8
Tairawhiti,2013,Male,Non-Hodgkin lymphoma,3,0.0
Taranaki,2013,Male,Non-Hodgkin lymphoma,10,10.0
Waikato,2013,Male,Non-Hodgkin lymphoma,20,6.7
Wairarapa,2013,Male,Non-Hodgkin lymphoma,1,0.0
Waitemata,2013,Male,Non-Hodgkin lymphoma,21,5.5
West Coast,2013,Male,Non-Hodgkin lymphoma,4,0.0
Whanganui,2013,Male,Non-Hodgkin lymphoma,1,0.0
All New Zealand,2013,Male,Pancreas,214,6.4
Auckland,2013,Male,Pancreas,23,8.3
Bay of Plenty,2013,Male,Pancreas,19,8.7
Canterbury,2013,Male,Pancreas,24,6.6
Capital & Coast,2013,Male,Pancreas,8,4.3
Counties Manukau,2013,Male,Pancreas,15,5.2
Hawke's Bay,2013,Male,Pancreas,12,9.6
Hutt Valley,2013,Male,Pancreas,5,0.0
